trait	collection_date	location	longitude	latitude
CHIKV_RUN_S28b79_2025	2025-03-26	REU.4.8_1	55.452258	-21.299821
CHIKV_RUN_S28b36_2025	2025-03-26	REU.4.4_1	55.566425	-21.330702
CHIKV_RUN_S28b68_2025	2025-03-26	REU.2.3_1	55.486429	-20.889024
CHIKV_RUN_S28b80_2025	2025-03-26	REU.2.4_1	55.516185	-20.923556
CHIKV_RUN_S27b77_2025	2025-03-26	REU.3.5_1	55.291594	-21.022758
CHIKV_RUN_S28b76_2025	2025-03-26	REU.2.3_1	55.490601	-20.894006
CHIKV_RUN_S28b85_2025	2025-03-26	REU.4.8_1	55.475068	-21.283209
CHIKV_RUN_S28b74_2025	2025-03-26	REU.3.3_1	55.293326	-21.110655
CHIKV_RUN_S28b30_2025	2025-03-26	REU.2.3_1	55.452173	-20.876078
CHIKV_RUN_S28b91_2025	2025-03-26	REU.2.3_1	55.445248	-20.887252
CHIKV_RUN_S28b20_2025	2025-03-26	REU.2.3_1	55.488763	-20.891292
CHIKV_RUN_S28b63_2025	2025-03-26	REU.2.3_1	55.457347	-20.888112
CHIKV_RUN_S30b20_2025	2025-03-27	REU.1.3_1	55.648787	-20.958197
